,count,unique,top,freq,mean,std,min,25%,50%,75%,max
PassengerId,418.0,,,,1100.5,120.81045760473994,892.0,996.25,1100.5,1204.75,1309.0
Pclass,418.0,,,,2.2655502392344498,0.8418375519640503,1.0,1.0,3.0,3.0,3.0
Name,418,418,"Kelly, Mr. James",1,,,,,,,
Sex,418,2,male,266,,,,,,,
Age,332.0,,,,30.272590361445783,14.181209235624422,0.17,21.0,27.0,39.0,76.0
SibSp,418.0,,,,0.4473684210526316,0.8967595611217135,0.0,0.0,0.0,1.0,8.0
Parch,418.0,,,,0.3923444976076555,0.9814288785371691,0.0,0.0,0.0,0.0,9.0
Ticket,418,363,PC 17608,5,,,,,,,
Fare,417.0,,,,35.627188489208635,55.907576179973844,0.0,7.8958,14.4542,31.5,512.3292
Cabin,91,76,B57 B59 B63 B66,3,,,,,,,
Embarked,418,3,S,270,,,,,,,
